"","ID","Population","dependency_ratio","p_foreigners","p_infrastructure","p_forested","p_agriculture","p_improductible","surface_polygone","natural_growth","p_migration","p_surf_transport","density","p_pop_19","p_pop_65"
"1",1,1517,52.7200791296,5.735003296,0.11378002528445,0.310998735777497,0.520859671302149,0.0530973451327434,791,5.2735662492,11.8811881188,4.9555273189,195.2,24.2227979275,10.2979274611
"2",2,9933,60.1304145319,25.974025974,0.263456090651558,0.284230406043437,0.442870632672332,0.00472143531633617,1059,3.7249572133,14.7417649451,6.5094339623,972.1,25.2278456467,12.3230560403
"3",3,3896,48.7012987013,12.1919917864,0.135935397039031,0.292059219380888,0.570659488559892,0.00269179004037685,743,9.2402464066,23.7535891412,5.2348993289,523.96,24.5055227331,8.2455689699
"4",4,3038,61.6161616162,8.4595128374,0.113235294117647,0.291176470588235,0.572794117647059,0.0257352941176471,1360,1.9749835418,-16.6884816754,4.4590643275,223.2,27.5986842105,10.5263157895
"5",5,2994,64.2504118616,15.464261857,0.173047473200613,0.335375191424196,0.485451761102603,0.00918836140888208,653,5.0100200401,-3.6801605888,4.134762634,458.04,28.0842527583,11.0330992979
"6",6,867,64.4486692015,5.6516724337,0.0744949494949495,0.203282828282828,0.698232323232323,0.0113636363636364,792,2.306805075,-6.8965517241,3.4482758621,109.36,28.0924855491,11.098265896
"7",7,1437,64.0181611805,9.046624913,0.156105100463679,0.173106646058733,0.649149922720247,0.0247295208655332,647,8.3507306889,74.6918056563,5.5299539171,223.34,28.1660899654,10.8650519031
"8",8,580,68.5975609756,5.8620689655,0.0810234541577825,0.23454157782516,0.607675906183369,0.0746268656716418,469,12.0689655172,75.8122743682,2.7777777778,117.91,27.486437613,13.2007233273
"9",9,3665,57.9974543912,9.7135061392,0.126630851880276,0.188027628549501,0.678434382194935,0.00844205679201842,1303,7.3669849932,11.0192837466,4.367816092,286.24,26.9871106337,9.7207303974
"10",10,4183,55.2338530067,15.2761176189,0.204244031830239,0.214854111405836,0.53183023872679,0.0503978779840849,754,6.4546975855,-14.3129770992,5.298013245,553.91,25.8967001435,9.6843615495
"11",11,2198,55.3481694185,6.7788898999,0.185258964143426,0.211155378486056,0.563745019920319,0.0418326693227092,502,2.2747952684,-7.2430964237,4.2168674699,431.94,26.0628465804,9.5656192237
"12",12,722,71.2230215827,3.8781163435,0.0921658986175115,0.227342549923195,0.671274961597542,0.021505376344086,651,4.1551246537,8.3798882682,4.7184170472,109.68,28.5714285714,13.025210084
"13",13,2585,44.0883977901,10.6382978723,0.0931780366056572,0.505823627287854,0.394342762063228,0.00665557404326123,1202,10.0580270793,-2.3291925466,2.8309741882,216.61,21.5107361963,9.0874233129
"14",14,3840,52.765442067,10.0260416667,0.307692307692308,0.214854111405836,0.435013262599469,0.0371352785145889,377,4.1666666667,35.3535353535,5.8355437666,1006.38,21.5380549683,13.0021141649
"15",21,602,68.6781609195,3.9867109635,0.0957446808510638,0.224924012158055,0.659574468085106,0.0243161094224924,658,9.9667774086,28.813559322,4.9698795181,89.07,29.471890971,11.2436115843
"16",22,706,72.5490196078,4.5325779037,0.0724381625441696,0.340989399293286,0.586572438162544,0,566,-1.4164305949,-29.1262135922,2.8218694885,124.38,29.2613636364,12.7840909091
"17",23,581,63.7142857143,5.1635111876,0.0442225392296719,0.453637660485021,0.489300998573466,0.0156918687589158,701,0,34.9040139616,1.8413597734,81.62,28.2722513089,10.6457242583
"18",24,1983.33333333333,67.3377604029333,4.55468719113333,0.0886707607397928,0.350680608785944,0.552960057331755,0.004423800044238,1183,5.54646442393333,-8.40672699576667,3.7631916014,147.263333333333,30.0376872978667,10.1596301862667
"19",25,1537,66.6304347826,7.3519843852,0.259259259259259,0.125925925925926,0.52962962962963,0.0703703703703704,270,4.5543266103,44.6071904128,9.6654275093,565.68,26.4840182648,13.5029354207
"20",26,596,56.4643799472,6.2080536913,0.0611510791366906,0.402877697841727,0.530575539568345,0.00179856115107914,556,16.7785234899,22.2222222222,1.2635379061,106.85,27.3187183811,8.7689713322
"21",27,2860,66.1822247065,14.8601398601,0.395161290322581,0.44758064516129,0.149193548387097,0.0161290322580645,248,0,31.6725978648,10,1198.79,20.8543558695,18.9707366297
"22",28,1136,77.7099236641,8.8028169014,0.0766961651917404,0.341199606686332,0.52015732546706,0.0648967551622419,1017,3.5211267606,-0.8771929825,2.4509803922,114.45,29.8109965636,13.9175257732
"23",29,1254,62.5,8.1339712919,0.21900826446281,0.557851239669422,0.181818181818182,0.0330578512396694,242,2.3923444976,8.0064051241,5,515.7,24.4391025641,14.0224358974
"24",30,1651,67.2431332655,14.6577831617,0.137982195845697,0.332344213649852,0.473293768545994,0.0519287833827893,674,2.4227740763,3.6385688296,4.1853512706,244.64,24.695863747,15.5109489051
"25",31,1632,61.6151545364,7.9656862745,0.214521452145215,0.198019801980198,0.594059405940594,0,303,7.3529411765,15.5279503106,6.5359477124,533.22,26.2800740284,11.8445404072
"26",32,418,58.1395348837,5.980861244,0.0760869565217391,0.277173913043478,0.644021739130435,0.00271739130434783,368,19.1387559809,-2.4038461538,2.1739130435,110.87,26.2254901961,10.5392156863
"27",33,1796,63.0259623993,9.6881959911,0.119533527696793,0.329446064139942,0.516034985422741,0.0349854227405248,1029,0,15.7038698822,4.6647230321,176.45,26.4140582098,12.2460186711
"28",34,1401,59.9299065421,5.7815845824,0.121019108280255,0.447452229299363,0.39968152866242,0.0334394904458599,628,1.4275517488,5.7388809182,4.16,218.34,22.2059897736,15.2666179693
"29",35,1764,66.9444444444,5.7823129252,0.0983722576079264,0.394196744515216,0.493984430290163,0.0148619957537155,1413,2.8344671202,0,3.3922261484,127.42,25.7348863006,14.36494731
"30",37,1282,74.2465753425,7.8003120125,0.0840336134453782,0.293353705118411,0.574484339190222,0.0466004583651643,1309,2.3400936037,11.7554858934,3.7376048818,97.1,28.6163522013,13.9937106918
"31",38,1339,69.9380165289,19.0440627334,0.108379888268156,0.548603351955307,0.26927374301676,0.0759776536312849,895,-1.4936519791,1.4925373134,3.9193729003,184.42,22.5531914894,18.6018237082
"32",39,642,51.6666666667,7.476635514,0.0854037267080745,0.21583850931677,0.661490683229814,0.0403726708074534,644,1.5576323988,38.0952380952,3.5714285714,98.76,23.5478806907,10.5180533752
"33",40,990,56.2401263823,4.9494949495,0.0763598326359833,0.289748953974895,0.630753138075314,0.00313807531380753,956,0,-9.0270812437,2.4058577406,103.67,23.4580384226,12.537917088
"34",41,438,69.921875,3.8812785388,0.0634920634920635,0.285714285714286,0.643990929705215,0.00453514739229025,441,6.8493150685,-6.8649885584,2.2573363431,98.64,29.6551724138,11.4942528736
"35",43,266,68.5534591195,8.6466165414,0.05625,0.296875,0.66875,0,320,3.7593984962,34.3511450382,2.4464831804,83.75,28.7313432836,11.9402985075
"36",51,3095,44.4704779756,26.7205169628,0.218097447795824,0.389791183294664,0.357308584686775,0.0278422273781903,431,7.7544426494,-1.6181229773,8.8578088578,715.31,21.2131041194,9.568602011
"37",52,7373,53.3986527863,17.8624711786,0.264673311184939,0.308970099667774,0.420819490586932,0.0044296788482835,903,4.204530042,23.9669421488,8.1201334816,833.15,23.4331337325,11.377245509
"38",53,13922,54.4291230006,21.0889240052,0.273461777501554,0.392790553138595,0.330018645121193,0.00372902423865755,1609,4.6688694153,3.9731272123,8.8198757764,870.04,23.0659332809,12.1794413887
"39",54,6121,53.0831099196,20.8626041496,0.44,0.308235294117647,0.242352941176471,0.00470588235294118,425,8.4953438981,6.2561738558,9.7156398104,1481.37,20.4585257125,14.2174812928
"40",55,2888,61.4397321429,13.5734072022,0.162251655629139,0.415011037527594,0.353200883002208,0.0728476821192053,906,-5.8864265928,40.1267159451,6.9383259912,319.32,23.5741444867,14.4832353958
"41",56,7396,51.9921491658,22.2011898323,0.182033096926714,0.451536643026005,0.351457840819543,0.0173364854215918,1269,4.5970795024,15.0334836682,5.2590266876,610.24,24.5092975207,9.6978305785
"42",57,2114,58.6129753915,12.2989593188,0.0833333333333333,0.491666666666667,0.395238095238095,0.0226190476190476,840,7.56859035,13.3843212237,2.881152461,253.21,28.1617301363,8.7917254349
"43",58,3570,58.9950650516,19.8879551821,0.177379983726607,0.323026851098454,0.472742066720911,0.0235964198535395,1229,4.2016806723,17.2706681767,5.8489033306,287.66,26.1004514673,11.0045146727
"44",59,1567,52.5603864734,13.0185067007,0.0858995137763371,0.450567260940032,0.435980551053485,0.0275526742301459,617,9.5724313976,0,3.0894308943,256.33,26.8524382521,7.5997466751
"45",60,2287,55.1956815115,30.2579798863,0.177453027139875,0.127348643006263,0.60125260960334,0.0939457202505219,479,7.4333187582,22.2123500666,6.7085953878,481.17,25.7826086957,9.7826086957
"46",61,785,58.2995951417,3.821656051,0.152749490835031,0.327902240325866,0.4989816700611,0.0203665987780041,491,7.6433121019,15.444015444,4.462474645,159.27,24.2966751918,12.5319693095
"47",62,16507,46.4349603884,25.8254074029,0.386092371562013,0.259989621172807,0.347171769590036,0.00934094447327452,1927,5.573393106,8.6059570313,23.3160621762,892.06,19.1797556719,12.5305410122
"48",63,1157,44.3349753695,11.8409680207,0.127413127413127,0.372586872586873,0.498069498069498,0.00193050193050193,518,7.7787381158,30.755711775,4.0462427746,225.82,20.3924914676,10.3242320819
"49",64,4509,50.9784075574,10.1574628521,0.199203187250996,0.317729083665339,0.48605577689243,0.00199203187250996,1004,3.7702373032,13.434841021,4.9554013875,446.16,22.4804469274,11.2849162011
"50",65,970,56.3981042654,2.7835051546,0.0653021442495127,0.342105263157895,0.58187134502924,0.00389863547758285,1026,6.1855670103,-6.1855670103,2.8487229862,96.59,24.5454545455,11.5151515152
"51",66,11846,46.9362894384,37.0589228432,0.552772808586762,0.161001788908766,0.271914132379249,0.0143112701252236,559,4.811750802,19.1518467852,18.3600713012,2157.78,18.554136959,13.3891560272
"52",67,3376,67.0767716535,16.2618483412,0.158239700374532,0.334269662921348,0.508426966292135,0.00187265917602996,1068,4.4431279621,10.152284264,4.5708955224,317.59,28.4830633284,11.6642120766
"53",68,2174,54.890921886,16.6973321067,0.146396396396396,0.47972972972973,0.355855855855856,0.0292792792792793,444,8.739650414,-20.0913242009,2.2421524664,497.96,26.7605633803,8.6778736938
"54",69,11670,55.3748047892,20.8311910883,0.542056074766355,0.210280373831776,0.2398753894081,0.0124610591900312,642,1.970865467,14.6957123098,19.9690402477,1856.77,19.105452718,16.5340480777
"55",70,569,65.6804733728,3.690685413,0.103535353535354,0.436868686868687,0.452020202020202,0.00252525252525253,396,5.2724077329,10.6194690265,2.0304568528,141.41,28.5714285714,11.0714285714
"56",71,1325,66.078184111,6.1132075472,0.142058165548098,0.303131991051454,0.544742729306488,0.0111856823266219,894,7.5471698113,-5.299015897,3.6789297659,147.15,28.0941533789,11.6932422172
"57",72,3333,44.2173913043,9.300930093,0.198520345252774,0.274969173859433,0.458692971639951,0.0653514180024661,811,9.00090009,-11.1144487834,10.8641975309,408.5,21.3144407597,9.3457943925
"58",81,570,60.2777777778,4.9122807018,0.0602409638554217,0.447973713033954,0.495071193866375,0.00328587075575027,913,-1.7543859649,19.4346289753,3.3879781421,63.2,24.9566724437,12.6516464471
"59",82,1037,46.2643678161,9.2574734812,0.108585858585859,0.464646464646465,0.409090909090909,0.0126262626262626,396,13.5004821601,21.4634146341,3.5714285714,257.07,21.6110019646,10.0196463654
"60",83,4176,49.5708154506,16.2356321839,0.229452054794521,0.261986301369863,0.501712328767123,0.0102739726027397,584,7.183908046,15.7805292547,8.3333333333,716.1,26.1597321856,6.9823051172
"61",84,3239,42.9009640666,23.0626736647,0.217294900221729,0.323725055432373,0.447893569844789,0.00886917960088692,451,6.7922198209,-4.6410891089,4.0178571429,724.67,22.8764182766,7.1450475314
"62",85,1729,52.2193211488,21.1104684789,0.132404181184669,0.310104529616725,0.519163763066202,0.0209059233449477,287,14.4592249855,-26.9650028686,4.6428571429,609.41,27.9588336192,6.346483705
"63",86,4695,54.2008843967,23.1735889244,0.31175468483816,0.298126064735945,0.374787052810903,0.0153321976149915,587,8.0937167199,13.9845094664,8.1771720613,833.11,25.0716919295,10.0778369521
"64",87,533,50.5649717514,12.5703564728,0.125786163522013,0.364779874213836,0.515723270440252,0,159,-3.7523452158,1.8761726079,5.625,335.22,23.2645403377,10.3189493433
"65",88,2408,42.8743961353,7.5996677741,0.172185430463576,0.0562913907284768,0.635761589403974,0.129139072847682,604,5.8139534884,46.9283276451,6.6666666667,392.37,21.0059171598,9.0025359256
"66",89,3736,53.6595394737,18.7366167024,0.297222222222222,0.075,0.588888888888889,0.0388888888888889,360,4.5503211991,4.5760430686,6.9444444444,1035.18,23.3074658817,11.6135937918
"67",90,7532,49.566417028,20.0079660117,0.188495575221239,0.211504424778761,0.579646017699115,0.0185840707964602,1130,10.3558151885,7.5107296137,4.8629531388,672.19,25.8927394914,7.2473316643
"68",91,2245,54.1666666667,12.1603563474,0.118248175182482,0.388321167883212,0.487591240875912,0.00583941605839416,685,5.7906458797,37.8132118451,3.9244186047,324.09,27.027027027,8.1081081081
"69",92,5027,45.2482269504,29.6001591406,0.288484848484849,0.109090909090909,0.526060606060606,0.0775757575757576,825,9.5484384325,6.7045916294,17.1324422843,620.61,23.96484375,7.1875
"70",93,1297,56.7436208991,11.7193523516,0.0931174089068826,0.546558704453441,0.350202429149798,0.00404858299595142,494,2.3130300694,-3.0792917629,3.893442623,260.61,28.9147286822,7.2868217054
