"","ID","migration","migration_intern","dependency_ratio","Population","p_new_housings","p_new_buildings","p_weddings","p_individual_houses","p_foreigners","density","p_social_assistance","natural_growth_1000","p_infrastructure","p_forested","p_agriculture","p_improductible","surface_polygone","p_surf_transport","zab_2012","net_income_h","p_pop_19","p_pop_65","p_primary_sector","p_secondary_sector","p_tertiary_sector"
"1",1,1.6844469399,38.1807973049,58.3333333333,1824,31.25,7.1271929825,2.2459292532,71.9101123596,12.3355263158,230.5941845765,0.91796,5.6148231331,0.125158027812895,0.307206068268015,0.513274336283186,0.0530973451327434,791,4.9555273189,61.01,55747.27681078,21.600877193,15.2412280702,0.0974025974025974,0.0303030303030303,0.872294372294372
"2",2,6.2678587888,9.2174393953,58.3523700742,11091,9.9179514922,1.4426111261,6.0835100009,57.1955719557,25.5342169326,1045.3345900094,3.65106,3.7791501521,0.305004721435316,0.279508970727101,0.401322001888574,0.00944287063267233,1059,6.6037735849,285.84,35913.245460411,21.7653953656,15.0843025877,0.013531799729364,0.220060893098782,0.766407307171854
"3",3,3.7073170732,-3.1219512195,55.6259426848,5159,3.2952122504,3.2952122504,6.243902439,72.3622782446,12.7350261679,694.3472409152,0.39116,5.6585365854,0.157469717362046,0.286675639300135,0.553162853297443,0.00403768506056528,743,5.3691275168,93.01,45505.424390244,23.841829812,11.9015313045,0.0435754189944134,0.127374301675978,0.829050279329609
"4",4,1.799640072,3.299340132,60.2288984263,3360,2.380952381,2.0833333333,3.899220156,70.0707785642,11.6369047619,246.6960352423,0.51128,2.699460108,0.127205882352941,0.289705882352941,0.560294117647059,0.0257352941176471,1360,4.6052631579,119.71,42562.537492501,23.5119047619,14.0773809524,0.113660062565172,0.118873826903024,0.767466110531804
"5",5,2.0539906103,-2.3474178404,58.7523277467,3410,4.9853372434,2.3460410557,6.161971831,76.8115942029,13.2258064516,522.2052067381,0.93759,-0.5868544601,0.197549770290965,0.333843797856049,0.465543644716692,0.00612557427258806,653,5.0535987749,102.76,44153.579812207,24.780058651,12.2287390029,0.022412656558998,0.502966381015162,0.47462096242584
"6",6,-2.2148394241,38.7596899225,61.0526315789,918,16.339869281,10.8932461874,7.7519379845,59.6296296296,11.1111111111,116.0556257901,0,4.4296788483,0.0820707070707071,0.203282828282828,0.690656565656566,0.0113636363636364,792,3.5759897829,36.75,42142.746400886,25.0544662309,12.8540305011,0.221789883268482,0.32295719844358,0.455252918287938
"7",7,2.8216704289,-3.3860045147,63.6363636364,1800,25,5,6.2076749436,65.7471264368,10.7222222222,278.2071097373,0.68886,11.2866817156,0.180834621329212,0.171561051004637,0.624420401854714,0.0262751159196291,647,5.222734255,51.75,39065.970654628,24.6666666667,14.2222222222,0.138364779874214,0.211740041928721,0.649895178197065
"8",8,-6.6666666667,51.6666666667,62.962962963,616,43.8311688312,17.8571428571,5,51.4285714286,8.6038961039,131.3432835821,0,-1.6666666667,0.0895522388059701,0.236673773987207,0.594882729211087,0.0767590618336887,469,2.9914529915,20.95,34385,23.7012987013,14.9350649351,0.356060606060606,0.257575757575758,0.386363636363636
"9",9,6.9212410501,0.2386634845,59.3914350113,4243,13.4338911148,4.0065991044,5.0119331742,66.6997026759,12.0905020033,326.1337432744,0.9384,3.8186157518,0.158864159631619,0.187260168841136,0.643898695318496,0.0115118956254797,1303,4.8275862069,130.73,45479.737470167,24.0160263964,13.2453452746,0.0962155227710071,0.364977549711353,0.538806927517639
"10",10,1.5047291488,-3.0094582975,59.1711956522,4686,1.9206145967,0.6402048656,4.7291487532,75,18.1818181818,620.6622516556,2.25612,5.5889939811,0.245358090185676,0.210875331564987,0.493368700265252,0.0517241379310345,754,5.298013245,134.6,37512.510748065,23.6022193769,13.5723431498,0.05380476556495,0.251345119139124,0.694850115295926
"11",11,-1.2520868114,7.0951585977,57.3107049608,2410,1.244813278,0.8298755187,6.2604340568,75.2489331437,8.7966804979,481.0379241517,1.12971,2.0868113523,0.207171314741036,0.203187250996016,0.545816733067729,0.0458167330677291,502,4.2168674699,77.08,41856.135225376,21.867219917,14.5643153527,0.0512820512820513,0.300944669365722,0.647773279352227
"12",12,-9.009009009,31.5315315315,62.7486437613,900,4.4444444444,4.4444444444,4.5045045045,64.4128113879,5,138.2488479263,0.68493,5.6306306306,0.109062980030722,0.227342549923195,0.65284178187404,0.0230414746543779,651,5.0228310502,35.07,41079.954954955,25.8888888889,12.6666666667,0.196850393700787,0.318897637795276,0.484251968503937
"13",13,12.6091173618,20.3685741998,53.7451361868,3161,13.6032900981,4.7453337551,8.0827675396,74.4730679157,17.4944637773,262.5415282392,0.39669,9.0526996444,0.112312811980033,0.498336106489185,0.37936772046589,0.00998336106489185,1202,2.9142381349,76.61,51642.9033301,20.1518506802,14.805441316,0.0611246943765281,0.303178484107579,0.635696821515892
"14",14,6.9103878734,-6.018724922,67.8929765886,4518,2.8773793714,1.3280212483,6.4645563977,75.6964457253,12.9482071713,1201.5957446809,0.56079,8.6937137762,0.413793103448276,0.204244031830239,0.3342175066313,0.0424403183023873,377,6.100795756,129.49,56367.632634864,21.5582115981,18.8800354139,0.0190677966101695,0.30614406779661,0.67478813559322
"15",21,3.4602076125,-17.3010380623,56.3685636856,577,5.1993067591,5.1993067591,8.6505190311,56.9060773481,3.8128249567,87.5569044006,0,10.3806228374,0.109422492401216,0.22644376899696,0.644376899696049,0.0243161094224924,658,6.1746987952,NA,40891.868512111,20.4506065858,15.5979202773,0.350877192982456,0.0994152046783626,0.549707602339181
"16",22,2.541296061,24.1423125794,50,798,0,0,6.3532401525,63.2653061224,10.4010025063,140.9893992933,0,-1.2706480305,0.0830388692579505,0.340989399293286,0.57243816254417,0.00353356890459364,566,2.6455026455,30.75,37920.330368488,19.7994987469,13.5338345865,0.344398340248963,0.232365145228216,0.423236514522822
"17",23,-6.6777963272,10.0166944908,50.5025125628,599,6.6777963272,6.6777963272,1.6694490818,69.0376569038,6.6777963272,85.3276353276,0,3.3388981636,0.0499286733238231,0.455064194008559,0.482168330955777,0.0156918687589158,701,1.8413597734,21.38,43014.524207012,17.3622704508,16.1936560935,0.374269005847953,0.146198830409357,0.47953216374269
"18",24,23.2357961650333,28.0416323696333,56.1883911512333,2323.66666666667,8.54578404243333,5.80151191273333,7.78937604863333,68.6471613817333,8.77266003376667,172.7022406339,0.619113333333333,5.45353447796667,0.0976864738955719,0.350912414175138,0.545039678800054,0.0030966600309666,1183,3.96199875846667,72.2733333333333,40581.604458495,24.9047916764333,11.0698250842,0.319478967170585,0.21791423875691,0.462606794072505
"19",25,4.6875,-2.6041666667,73.125,1939,1.5471892728,1.5471892728,6.7708333333,80,13.6152656008,715.4981549816,0.78003,2.6041666667,0.314814814814815,0.122222222222222,0.477777777777778,0.0703703703703704,270,8.9219330855,60.3,39697.34375,25.8380608561,16.4002062919,0.0529100529100529,0.486772486772487,0.46031746031746
"20",26,1.582278481,-6.3291139241,62.8865979381,632,0,0,4.746835443,69.3121693122,7.1202531646,113.8738738739,0,-1.582278481,0.12410071942446,0.406474820143885,0.464028776978417,0.00179856115107914,556,1.2635379061,21.31,41613.607594937,26.582278481,12.0253164557,0.21978021978022,0.175824175824176,0.604395604395604
"21",27,10.4287369641,-13.9049826188,57.1364250338,3490,2.5787965616,0.5730659026,10.1390498262,62.4345549738,21.6332378224,1407.2580645161,3.29099,4.6349942063,0.431451612903226,0.443548387096774,0.112903225806452,0.0201612903225806,248,10.8,113.26,37826.129779838,20.1432664756,16.217765043,0.0112464854732896,0.197750702905342,0.791002811621368
"22",28,11.4192495922,-5.7096247961,63.3821571238,1227,0.814995925,0.814995925,4.8939641109,65.1041666667,12.7139364303,120.6489675516,0.5705,-9.7879282219,0.0855457227138643,0.339233038348083,0.510324483775811,0.0678466076696165,1017,2.4509803922,52.75,37321.125611746,23.3088834556,15.4849225754,0.143051771117166,0.246594005449591,0.610354223433242
"23",29,14.1043723554,9.167842031,63.0136986301,1428,3.5014005602,2.1008403361,8.4626234133,71.4659685864,13.5854341737,590.0826446281,0.99502,-7.7574047955,0.223140495867769,0.56198347107438,0.173553719008264,0.0330578512396694,242,6.6666666667,48.52,46174.753173484,22.619047619,16.0364145658,0.0164948453608247,0.323711340206186,0.65979381443299
"24",30,3.2858707558,23.0010952903,71.7451523546,1860,4.8387096774,4.8387096774,7.1193866375,65.2173913043,13.6021505376,276.7857142857,0.77821,8.7623220153,0.158753709198813,0.329376854599407,0.455489614243323,0.0519287833827893,674,4.7832585949,NA,42318.291347207,22.2043010753,19.5698924731,0.0331574981160512,0.427279577995478,0.53956292388847
