"","ID","natural_growth_1000","density","dependency_ratio","migration_intern","migration","p_employment","primary_sector","secondary_sector","tertiary_sector","p_social_assistance","p_new_buildings","p_new_housings","p_cinema","p_museum","p_culture_institution","size_households","p_new_entreprise","p_weddings","p_strangers","p_cultural_place","p_individual_houses","Population","p_infrastructure","p_forested","p_agriculture","p_improductible","surface_polygone","lat","long","zab_2022","net_income_h"
"1",2679530.18207829,-2676180.76923193,10523.8747468929,44587.9493260836,243289.160850311,764623.076956138,25576179.0839131,16218208.9967896,21251446.2716554,1580235.74840514,2041593.47038659,1769383.09689584,530814.929068753,Inf,2698286893.35284,234633642.900247,1174386.7914618,539657378.670567,1070472.30775692,186088.751265357,234633642.900247,38727.5846628442,1330.45192754632,20379888.2117685,8722256.68322603,5338812.02524918,46076269.0005201,3387.52235408127,4692292.87155029,3645061.27253476,38521.1354525343,46.5175013293838
"2",1338269.72543124,1265797.27263433,2306.49790744843,42248.4395485603,-438809.721173538,476967.088224967,6441831.82758501,46058783.0502585,1735338.76484491,391503.734091094,840038.61982182,3658829.42928584,588026.158285258,137049972.131871,Inf,401121869.654257,1223003.02191563,657839866.232981,557808.967586816,92289.5435232618,401121869.654257,48937.3032866659,217.799613545649,8857672.74519803,9543620.46620663,6669306.53756087,236204606.538614,2527.42157777383,4761097.91137919,3626116.70113552,9360.16594111727,73.2878069051033
"3",892565.047063526,575807.443634181,3546.3948126642,39021.8648039281,-4990331.1784133,2495165.58897414,24505497.1322661,Inf,Inf,11577901.9103702,2368279.43323803,14920117.3295069,14920117.3295069,Inf,Inf,455208174.002398,1130454.49537291,1001457982.80528,575807.443634181,154705.146674465,455208174.002398,37420.3685768748,477.307511798677,15072177.9538227,9340504.64743944,5088305.60077903,248690936.238075,3603.89655611114,4734253.84537695,3541669.05947274,28979.3846449197,59.1922985819899
"4",670781.968979664,1266436.35743158,9600.24706985001,39782.496919241,281430.301651462,2026298.17185227,19170242.5871557,2050314.69763596,1552381.12821008,269979.326645231,2141363.02946421,3354804.22102638,2012882.53246482,Inf,Inf,328986098.592478,1122112.76970956,637410566.022926,1013149.08596439,169411.446119036,328986098.592478,38849.0774997963,705.900519841794,20160518.8466816,9214782.60416509,4846021.13047726,107325115.036746,1972.88814405784,4612307.51417923,3729184.06559308,21190.3954819038,58.5952769542123
"5",535311.954581768,5067396.78990003,4605.51655259406,42569.1759104182,-921344.870922631,533410.188431791,7360539.3754993,1773426738.76541,73774552.3326409,58439917.8807358,2106681.39007866,5056021.41073003,2528010.70560378,Inf,10157544338.189,441632362.529958,1123091.57094044,725538881.299217,1447827.65433547,154135.725920864,441632362.529958,35838.6817050493,705.285842663725,13444565.6285344,8054348.07239388,5768295.48418967,349558706.341894,4098.86642099363,4760623.04579528,3577128.00502227,26046.7085724877,54.7631192211111
"6",446870.038711889,550990.757727434,17056.4371402288,41732.3395495076,194467.326257917,-1101981.51547751,15104611.7157367,15126129.2348892,9543867.25534678,4219393.9444691,2728144.3144804,545628.317267762,545628.317267762,Inf,Inf,256778399.167524,1086337.8180968,Inf,1101981.51547751,149023.178088179,256778399.167524,43506.5924482076,2153.59054800911,30775745.2747666,13027769.4721405,3925187.47497024,235947380.439878,3385.37908115068,4654349.53540058,3778492.81512697,70558.4271650352,54.6568414940918
"7",382507.670957922,2118391.23296356,7312.69414001027,41210.7943029885,-635517.369909181,-1271034.73981836,17190039.8577106,2576513.93456562,1379345.84375735,341388.096329945,1872716.37865213,2122407.56355711,335116.983723738,Inf,Inf,422874980.499681,1063313.02603182,792890588.436902,794396.712400618,158182.661034799,422874980.499681,42204.1238169629,1130.24638949154,15330772.051048,15467653.944361,4266939.01913406,96243180.0982459,4138.41375070394,4737521.77281272,3776600.26916785,47967.6405715774,62.7498047774267
"8",334375.725542909,-1720028.73224105,19572.1953547123,39199.1235174762,Inf,-573342.91073473,30082082.8172638,308537601.296411,251401008.463742,188550756.347807,Inf,Inf,Inf,Inf,1714678720.58404,Inf,1142842.85535685,Inf,Inf,241504.045153167,Inf,51223.5154023397,4173.17598181477,30599456.6399267,11405252.0203363,4578750.81108392,29176226.0985347,5703.63710947392,4797231.20949343,3745902.85984419,127685.241257435,72.8825915923109
"9",297513.502508666,544792.994404673,6485.0201559841,38584.9635013752,106500.886123668,786923.214143642,10718455.2019863,12664426.1203013,3311546.0526583,1893267.74323697,1762485.9452341,819037.171619802,176248.505283704,Inf,Inf,720280189.573482,1100295.69910816,1200466982.62247,833212.814969859,172729.062247386,720280189.573482,41090.7726192242,497.699167765427,17019223.6288738,13955763.3756765,4153501.00466563,348894084.391913,2054.96663283039,4735954.12081192,3714244.455225,20954.9344387071,59.0519373797347
"10",267442.922251483,668607.305628708,3489.39199476746,38912.1499027748,2562994.67150196,569554.371463074,16654662.1518461,15155098.927584,2714346.07658222,720242.325271321,980794.052557881,Inf,Inf,Inf,Inf,498565370.223007,1099835.09308356,965970404.807076,465999.031194354,126580.888426988,498565370.223007,36762.6062126231,462.784084186681,10557694.4176764,12524966.6694173,5524711.3254142,53066306.1520048,3546.98835877299,4810968.82166591,3674940.80279617,19988.2602579584,72.025348393324
