"","ID","natural_growth_1000","density","dependency_ratio","migration_intern","migration","p_employment","primary_sector","secondary_sector","tertiary_sector","p_social_assistance","p_new_buildings","p_new_housings","p_cinema","p_museum","p_culture_institution","size_households","p_new_entreprise","p_weddings","p_foreigners","p_individual_houses","Population","p_pop_19","p_pop_65","p_infrastructure","p_forested","p_agriculture","p_improductible","surface_polygone","lat","long","zab_2022","net_income_h"
"1",1,-1.0012515645,254.6144121365,60.0953895072,11.013767209,3.5043804756,0.104766633565045,0.193877551020408,0.147959183673469,1.98979591836735,1.31247,1.5143866734,5.047955578,0,0.00099304865938431,0.0114200595829196,2.2816419612,0.00496524329692155,2.5031289111,14.3992055611,69.1891891892,2014,19.7974217311,18.5082872928,0.131479140328698,0.307206068268015,0.501896333754741,0.0581542351453856,791,0.571049219524312,0.735112521226551,69.56,57602.624936901
"2",2,2.1145087833,1160.4343720491,63.3523860162,-6.0995445673,5.611581002,0.415493530799902,0.0649526387009472,1.72395128552097,7.64140730717185,3.18621,0.7315288954,4.5517353491,0.0195296606721458,0,0.00667263406298316,2.1884978229,0.00406867930669705,4.798308393,29.0015460981,54.6932354483,12289,22.3411371237,18.5953177258,0.302171860245515,0.280453257790368,0.401322001888574,0.0113314447592068,1059,0.562168537736949,0.738128326102777,285.95,36520.937982606
"3",3,4.6503308889,755.0471063257,68.6203787196,-0.536576641,1.0731532821,0.109269162210339,0,0,0.315467625899281,1.13065,0.1794687724,0.1794687724,0,0,0.00588235294117647,2.3686890115,0.00267379679144385,4.6503308889,17.3083778966,71.5571557156,5610,21.922405692,14.1361256545,0.177658142664872,0.286675639300135,0.526244952893674,0.0107671601615074,743,0.565600246341961,0.756054587886654,92.4,45237.221823403
"4",4,2.1186440678,279.4852941176,67.4449339207,9.5338983051,1.3241525424,0.139963167587477,2.12,2.8,16.1,1.253,0.7997867235,1.3329778726,0,0,0.0081557484872402,2.3911392405,0.00420941857405946,2.6483050847,15.8379373849,69.0654205607,3801,22.0930232558,21.511627907,0.133088235294118,0.291176470588235,0.553676470588235,0.025,1360,0.581732217045403,0.719494621001482,126.62,45790.855771794
"5",5,0.528192262,581.1638591118,62.8755364807,-2.9050574409,5.0178264888,0.363636363636364,0.0018737388296339,0.0450417987892765,0.0568607667915826,1.27051,0.5293806247,1.0587612493,0,0.000263504611330698,0.00606060606060606,2.3832070707,0.00368906455862978,1.8486729169,17.3649538867,74.6835443038,3795,19.276863701,20.4008395965,0.199081163859112,0.332312404287902,0.464012251148545,0.00765696784073507,653,0.562228882052078,0.74824265979606,102.76,48875.224986765
"6",6,4.8661800487,157.196969697,64.2480211082,13.7875101379,-2.4330900243,0.177510040160643,0.230434782608696,0.365217391304348,0.826086956521739,0.9828,4.914004914,4.914004914,0,0,0.0104417670682731,2.46812749,0,2.4330900243,17.9919678715,61.6279069767,1245,21.4512711864,16.313559322,0.0871212121212121,0.205808080808081,0.683080808080808,0.0113636363636364,792,0.576067657119047,0.709600458028458,38,49055.528255528
"7",7,1.2639561829,366.1514683153,64.9721448468,-4.2131872762,-2.1065936381,0.155761924862811,2.52380952380952,4.71428571428571,19.047619047619,1.42977,1.2615643398,7.9899074853,0,0,0.00633178556352891,2.5181236674,0.00337695230054875,3.3705498209,16.9269734065,63.4429400387,2369,19.6428571429,21.4285714286,0.174652241112828,0.173106646058733,0.627511591962906,0.0278207109737249,647,0.565180240874282,0.708985199880694,55.82,42670.311185871
"8",8,-1.5552099533,136.6737739872,68.2414698163,0,-4.66562986,0.0889235569422777,0.0108454523046586,0.0133103278284447,0.0177471037712596,0,0,0,0,0.0015600624024961,0,2.3406593407,0,0,11.0764430577,52.2222222222,641,19.4493356811,19.4493356811,0.0874200426439232,0.23454157782516,0.584221748400853,0.0916844349680171,469,0.557614525447428,0.714115102401383,20.95,36702.945736434
"9",9,4.9149338374,412.8933231005,69.395465995,25.1417769376,3.4026465028,0.249814126394052,0.233070866141732,0.891338582677165,1.55905511811024,1.51923,3.2692307692,15.1923076923,0,0,0.00371747211895911,2.4335472044,0.00223048327137546,3.213610586,15.5018587361,65.1635720601,5380,17.3261390887,25.5995203837,0.157329240214889,0.191864927091328,0.644666155026861,0.00767459708365311,1303,0.565381643122622,0.72090611020803,127.78,45343.5
"10",10,4,766.4456233422,68.7299270073,1.0434782609,4.6956521739,0.160581415469804,0.272727272727273,1.52272727272727,5.73863636363636,2.7268,0,0,0,0,0.00536424987021976,2.431663837,0.00276864509430697,5.7391304348,21.1282228759,72.7486296006,5779,18.6580882353,23.6213235294,0.253315649867374,0.213527851458886,0.484084880636605,0.0503978779840849,754,0.555902422495589,0.727747565479129,133.8,37131.777661248
