ID,commune,no_mut_nvlle_cmne,date_entree_ch,no_mut_ancienne_cmne,new_no_commune,new_commune
329,Langenthal,2773,2010-01-01,3949,329,Langenthal
540,Jegenstorf,2774,2010-01-01,3413,540,Jegenstorf
619,Oberdiessbach,2775,2010-01-01,3414,619,Oberdiessbach
756,Twann-Tüscherz,2776,2010-01-01,NA,756,Twann-Tüscherz
301,Aarberg,2844,2010-01-01,NA,301,Aarberg
302,Bargen (BE),2845,2010-01-01,NA,302,Bargen (BE)
303,Grossaffoltern,2846,2010-01-01,NA,303,Grossaffoltern
304,Kallnach,2847,2010-01-01,3294,304,Kallnach
305,Kappelen,2848,2010-01-01,NA,305,Kappelen
306,Lyss,2849,2010-01-01,3176,306,Lyss
307,Meikirch,2981,2010-01-01,NA,307,Meikirch
308,Niederried bei Kallnach,2850,2010-01-01,3294,304,Kallnach
309,Radelfingen,2851,2010-01-01,NA,309,Radelfingen
310,Rapperswil (BE),2852,2010-01-01,3295,310,Rapperswil (BE)
311,Schüpfen,2853,2010-01-01,NA,311,Schüpfen
312,Seedorf (BE),2854,2010-01-01,NA,312,Seedorf (BE)
321,Aarwangen,2890,2010-01-01,NA,321,Aarwangen
322,Auswil,2891,2010-01-01,NA,322,Auswil
323,Bannwil,2892,2010-01-01,NA,323,Bannwil
324,Bleienbach,2893,2010-01-01,NA,324,Bleienbach
325,Busswil bei Melchnau,2894,2010-01-01,NA,325,Busswil bei Melchnau
326,Gondiswil,2895,2010-01-01,NA,326,Gondiswil
328,Kleindietwil,2896,2010-01-01,3177,332,Madiswil
330,Leimiswil,2897,2010-01-01,3177,332,Madiswil
331,Lotzwil,2898,2010-01-01,NA,331,Lotzwil
332,Madiswil,2899,2010-01-01,3177,332,Madiswil
333,Melchnau,2900,2010-01-01,NA,333,Melchnau
334,Obersteckholz,2901,2010-01-01,3949,329,Langenthal
335,Oeschenbach,2902,2010-01-01,NA,335,Oeschenbach
336,Reisiswil,2903,2010-01-01,NA,336,Reisiswil
337,Roggwil (BE),2904,2010-01-01,NA,337,Roggwil (BE)
338,Rohrbach,2905,2010-01-01,NA,338,Rohrbach
339,Rohrbachgraben,2906,2010-01-01,NA,339,Rohrbachgraben
340,Rütschelen,2907,2010-01-01,NA,340,Rütschelen
341,Schwarzhäusern,2908,2010-01-01,NA,341,Schwarzhäusern
342,Thunstetten,2909,2010-01-01,NA,342,Thunstetten
344,Ursenbach,2910,2010-01-01,NA,344,Ursenbach
345,Wynau,2911,2010-01-01,NA,345,Wynau
351,Bern,2982,2010-01-01,NA,351,Bern
352,Bolligen,2983,2010-01-01,NA,352,Bolligen
353,Bremgarten bei Bern,2984,2010-01-01,NA,353,Bremgarten bei Bern
354,Kirchlindach,2985,2010-01-01,NA,354,Kirchlindach
355,Köniz,2986,2010-01-01,NA,355,Köniz
356,Muri bei Bern,2987,2010-01-01,NA,356,Muri bei Bern
357,Oberbalm,2988,2010-01-01,NA,357,Oberbalm
358,Stettlen,2989,2010-01-01,NA,358,Stettlen
359,Vechigen,2990,2010-01-01,NA,359,Vechigen
360,Wohlen bei Bern,2991,2010-01-01,NA,360,Wohlen bei Bern
361,Zollikofen,2992,2010-01-01,NA,361,Zollikofen
362,Ittigen,2993,2010-01-01,NA,362,Ittigen
363,Ostermundigen,2994,2010-01-01,NA,363,Ostermundigen
371,Biel/Bienne,2826,2010-01-01,NA,371,Biel/Bienne
372,Evilard,2827,2010-01-01,NA,372,Evilard
381,Arch,2855,2010-01-01,NA,381,Arch
382,Büetigen,2856,2010-01-01,NA,382,Büetigen
383,Büren an der Aare,2857,2010-01-01,NA,383,Büren an der Aare
384,Busswil bei Büren,2858,2010-01-01,3176,306,Lyss
385,Diessbach bei Büren,2859,2010-01-01,NA,385,Diessbach bei Büren
386,Dotzigen,2860,2010-01-01,NA,386,Dotzigen
387,Lengnau (BE),2828,2010-01-01,NA,387,Lengnau (BE)
388,Leuzigen,2861,2010-01-01,NA,388,Leuzigen
389,Meienried,2862,2010-01-01,NA,389,Meienried
390,Meinisberg,2829,2010-01-01,NA,390,Meinisberg
391,Oberwil bei Büren,2863,2010-01-01,NA,391,Oberwil bei Büren
392,Pieterlen,2830,2010-01-01,NA,392,Pieterlen
393,Rüti bei Büren,2864,2010-01-01,NA,393,Rüti bei Büren
394,Wengi,2865,2010-01-01,NA,394,Wengi
401,Aefligen,2939,2010-01-01,NA,401,Aefligen
402,Alchenstorf,2940,2010-01-01,NA,402,Alchenstorf
403,Bäriswil,2995,2010-01-01,NA,403,Bäriswil
404,Burgdorf,2941,2010-01-01,NA,404,Burgdorf
405,Ersigen,2942,2010-01-01,3441,405,Ersigen
406,Hasle bei Burgdorf,2943,2010-01-01,NA,406,Hasle bei Burgdorf
407,Heimiswil,2944,2010-01-01,NA,407,Heimiswil
408,Hellsau,2945,2010-01-01,NA,408,Hellsau
409,Hindelbank,2946,2010-01-01,3950,409,Hindelbank
410,Höchstetten,2947,2010-01-01,NA,410,Höchstetten
411,Kernenried,2948,2010-01-01,NA,411,Kernenried
412,Kirchberg (BE),2949,2010-01-01,NA,412,Kirchberg (BE)
413,Koppigen,2950,2010-01-01,NA,413,Koppigen
414,Krauchthal,2951,2010-01-01,NA,414,Krauchthal
415,Lyssach,2952,2010-01-01,NA,415,Lyssach
416,Mötschwil,2953,2010-01-01,3950,409,Hindelbank
417,Niederösch,2954,2010-01-01,3441,405,Ersigen
418,Oberburg,2955,2010-01-01,NA,418,Oberburg
419,Oberösch,2956,2010-01-01,3441,405,Ersigen
420,Rüdtligen-Alchenflüh,2957,2010-01-01,NA,420,Rüdtligen-Alchenflüh
421,Rumendingen,2958,2010-01-01,NA,421,Rumendingen
422,Rüti bei Lyssach,2959,2010-01-01,NA,422,Rüti bei Lyssach
423,Willadingen,2960,2010-01-01,NA,423,Willadingen
424,Wynigen,2961,2010-01-01,NA,424,Wynigen
431,Corgémont,2777,2010-01-01,NA,431,Corgémont
432,Cormoret,2778,2010-01-01,NA,432,Cormoret
433,Cortébert,2779,2010-01-01,NA,433,Cortébert
434,Courtelary,2780,2010-01-01,NA,434,Courtelary
435,La Ferrière,2781,2010-01-01,NA,435,La Ferrière
436,La Heutte,2782,2010-01-01,3429,450,Péry-La Heutte
437,Mont-Tramelan,2783,2010-01-01,NA,437,Mont-Tramelan
438,Orvin,2784,2010-01-01,NA,438,Orvin
439,Péry,2785,2010-01-01,3429,450,Péry-La Heutte
440,Plagne,2786,2010-01-01,3411,449,Sauge
441,Renan (BE),2787,2010-01-01,NA,441,Renan (BE)
442,Romont (BE),2788,2010-01-01,NA,442,Romont (BE)
443,Saint-Imier,2789,2010-01-01,NA,443,Saint-Imier
444,Sonceboz-Sombeval,2790,2010-01-01,NA,444,Sonceboz-Sombeval
445,Sonvilier,2791,2010-01-01,NA,445,Sonvilier
446,Tramelan,2792,2010-01-01,NA,446,Tramelan
447,Vauffelin,2793,2010-01-01,3411,449,Sauge
448,Villeret,2794,2010-01-01,NA,448,Villeret
491,Brüttelen,2866,2010-01-01,NA,491,Brüttelen
492,Erlach,2867,2010-01-01,NA,492,Erlach
493,Finsterhennen,2868,2010-01-01,NA,493,Finsterhennen
494,Gals,2869,2010-01-01,NA,494,Gals
495,Gampelen,2870,2010-01-01,NA,495,Gampelen
496,Ins,2871,2010-01-01,NA,496,Ins
497,Lüscherz,2872,2010-01-01,NA,497,Lüscherz
498,Müntschemier,2873,2010-01-01,NA,498,Müntschemier
499,Siselen,2874,2010-01-01,NA,499,Siselen
500,Treiten,2875,2010-01-01,NA,500,Treiten
501,Tschugg,2876,2010-01-01,NA,501,Tschugg
502,Vinelz,2877,2010-01-01,NA,502,Vinelz
532,Bangerten,2878,2010-01-01,3440,310,Rapperswil (BE)
533,Bätterkinden,2962,2010-01-01,NA,533,Bätterkinden
534,Büren zum Hof,2996,2010-01-01,3412,538,Fraubrunnen
535,Deisswil bei Münchenbuchsee,2997,2010-01-01,NA,535,Deisswil bei Münchenbuchsee
536,Diemerswil,2998,2010-01-01,NA,536,Diemerswil
537,Etzelkofen,2999,2010-01-01,3412,538,Fraubrunnen
538,Fraubrunnen,3000,2010-01-01,3412,538,Fraubrunnen
539,Grafenried,3001,2010-01-01,3412,538,Fraubrunnen
541,Iffwil,3002,2010-01-01,NA,541,Iffwil
542,Limpach,3003,2010-01-01,3412,538,Fraubrunnen
543,Mattstetten,3004,2010-01-01,NA,543,Mattstetten
